cluster,type,index,lon,lat,alt
0,waypoint_drstasa,24,-13.9883634,65.4622379,871.8349816
0,waypoint_drstasa,25,-13.5500000,65.0800000,832.8000000
0,waypoint_drstasa,26,-13.6271771,64.9171129,841.8741592
0,waypoint_drstasa,27,-13.6414456,64.9161466,870.5585833
0,waypoint_drstasa,28,-13.6426802,64.9156860,857.8273099
0,waypoint_drstasa,29,-13.6442329,64.9154971,905.5957089
0,waypoint_drstasa,30,-14.0000000,64.9300000,875.8000000
0,waypoint_drstasa,31,-14.3757230,64.7713209,895.1412633
0,waypoint_drstasa,32,-14.3758047,64.7712633,890.4566786
0,waypoint_drstasa,33,-14.3759030,64.7713367,898.2135749
0,waypoint_drstasa,34,-14.3758793,64.7713722,891.2044729
0,waypoint_drstasa,35,-14.7400000,64.7500000,804.0000000
0,waypoint_drstasa,36,-14.8050670,64.7626226,807.2032400
0,waypoint_drstasa,37,-15.2978224,64.7923980,890.7390934
0,waypoint_drstasa,38,-15.3311561,64.7854247,840.2900985
0,waypoint_drstasa,39,-15.4385660,64.6779211,874.5189334
0,waypoint_drstasa,40,-15.2000000,64.5300000,829.8000000
0,waypoint_drstasa,41,-15.3177183,64.7003350,822.8322719
0,waypoint_drstasa,42,-15.3177183,64.7004460,820.5243296
0,waypoint_drstasa,43,-15.3175185,64.7005115,820.5243296
0,waypoint_drstasa,44,-15.3174716,64.7005657,826.1924986
0,waypoint_drstasa,45,-14.9000000,65.5000000,897.5000000
1,target,0,-22.5000000,63.8500000,895.9000000
1,target,1,-23.7830000,64.8000000,881.7000000
1,target,2,-22.7300000,64.9200000,833.1000000
1,waypoint_sa,0,-22.5000000,63.8500000,895.9000000
1,waypoint_sa,1,-22.8937884,64.0522875,874.9838167
1,waypoint_sa,2,-23.2038675,64.2210221,875.0693877
1,waypoint_sa,3,-23.4784773,64.4666377,874.9948338
1,waypoint_sa,4,-23.5365150,64.5315068,875.0643815
1,waypoint_sa,5,-23.7830000,64.8000000,881.7000000
1,waypoint_sa,6,-23.4516090,64.8731624,874.9174827
1,waypoint_sa,7,-23.4129051,64.8818537,875.0386170
1,waypoint_sa,8,-23.3244245,64.9017190,875.0222778
1,waypoint_sa,9,-22.8177934,64.9189105,874.9807002
1,waypoint_sa,10,-22.7300000,64.9200000,833.1000000
1,waypoint_drstasa,0,-22.5000000,63.8500000,895.9000000
1,waypoint_drstasa,1,-23.2545605,64.2501267,800.0000000
1,waypoint_drstasa,2,-23.2545605,64.2501267,800.0000000
1,waypoint_drstasa,3,-23.2545605,64.2501267,800.0000000
1,waypoint_drstasa,4,-23.2545605,64.2501267,800.0000000
1,waypoint_drstasa,5,-23.7830000,64.8000000,881.7000000
1,waypoint_drstasa,6,-23.2252166,64.8142853,827.6001827
1,waypoint_drstasa,7,-23.2251567,64.8142853,827.6001827
1,waypoint_drstasa,8,-23.2252830,64.8142853,827.6001827
1,waypoint_drstasa,9,-23.2253280,64.8142853,827.6001827
1,waypoint_drstasa,10,-22.7300000,64.9200000,833.1000000
2,target,0,-22.2000000,65.5200000,888.4000000
2,target,1,-23.8000000,65.6500000,921.4000000
2,target,2,-24.5000000,65.5500000,801.0000000
2,target,3,-21.9300000,66.0700000,920.9000000
2,waypoint_sa,0,-22.2000000,65.5200000,888.4000000
2,waypoint_sa,1,-23.0271667,65.5389009,875.0112879
2,waypoint_sa,2,-23.1620690,65.5623191,874.3256482
2,waypoint_sa,3,-23.2418889,65.5753353,874.7195967
2,waypoint_sa,4,-23.2582389,65.5780407,874.7197099
2,waypoint_sa,5,-23.8000000,65.6500000,921.4000000
2,waypoint_sa,6,-23.8273618,65.6496413,875.0127797
